year,month,yearmonth,decimal_date,days,type,ppm
1968,10,1968-10-01,1968.7920000000001,,interpolated,320.25
1968,10,1968-10-01,1968.7920000000001,,trend,323.32
1968,11,1968-11-01,1968.875,,average,321.31
1968,11,1968-11-01,1968.875,,interpolated,321.31
1968,11,1968-11-01,1968.875,,trend,323.32
1968,12,1968-12-01,1968.9579999999999,,average,322.84
1968,12,1968-12-01,1968.9579999999999,,interpolated,322.84
1968,12,1968-12-01,1968.9579999999999,,trend,323.69
1969,1,1969-01-01,1969.0420000000001,,average,324.0
1969,1,1969-01-01,1969.0420000000001,,interpolated,324.0
1969,1,1969-01-01,1969.0420000000001,,trend,323.98
1969,2,1969-02-01,1969.125,,average,324.42
1969,2,1969-02-01,1969.125,,interpolated,324.42
1969,2,1969-02-01,1969.125,,trend,323.89
1969,3,1969-03-01,1969.2079999999999,,average,325.64
1969,3,1969-03-01,1969.2079999999999,,interpolated,325.64
1969,3,1969-03-01,1969.2079999999999,,trend,324.41
1969,4,1969-04-01,1969.2920000000001,,average,326.66
1969,4,1969-04-01,1969.2920000000001,,interpolated,326.66
1969,4,1969-04-01,1969.2920000000001,,trend,324.35
1969,5,1969-05-01,1969.375,,average,327.34
1969,5,1969-05-01,1969.375,,interpolated,327.34
1969,5,1969-05-01,1969.375,,trend,324.57
1969,6,1969-06-01,1969.4579999999999,,average,326.76
1969,6,1969-06-01,1969.4579999999999,,interpolated,326.76
1969,6,1969-06-01,1969.4579999999999,,trend,324.63
1969,7,1969-07-01,1969.5420000000001,,average,325.88
1969,7,1969-07-01,1969.5420000000001,,interpolated,325.88
1969,7,1969-07-01,1969.5420000000001,,trend,325.08
1969,8,1969-08-01,1969.625,,average,323.67
1969,8,1969-08-01,1969.625,,interpolated,323.67
1969,8,1969-08-01,1969.625,,trend,324.8
1969,9,1969-09-01,1969.7079999999999,,average,322.38
1969,9,1969-09-01,1969.7079999999999,,interpolated,322.38
1969,9,1969-09-01,1969.7079999999999,,trend,325.28
1969,10,1969-10-01,1969.7920000000001,,average,321.78
1969,10,1969-10-01,1969.7920000000001,,interpolated,321.78
1969,10,1969-10-01,1969.7920000000001,,trend,324.84
1969,11,1969-11-01,1969.875,,average,322.85
1969,11,1969-11-01,1969.875,,interpolated,322.85
1969,11,1969-11-01,1969.875,,trend,324.78
1969,12,1969-12-01,1969.9579999999999,,average,324.11
1969,12,1969-12-01,1969.9579999999999,,interpolated,324.11
1969,12,1969-12-01,1969.9579999999999,,trend,324.88
1970,1,1970-01-01,1970.0420000000001,,average,325.03
1970,1,1970-01-01,1970.0420000000001,,interpolated,325.03
1970,1,1970-01-01,1970.0420000000001,,trend,325.04
1970,2,1970-02-01,1970.125,,average,325.99
1970,2,1970-02-01,1970.125,,interpolated,325.99
1970,2,1970-02-01,1970.125,,trend,325.42
1970,3,1970-03-01,1970.2079999999999,,average,326.87
1970,3,1970-03-01,1970.2079999999999,,interpolated,326.87
1970,3,1970-03-01,1970.2079999999999,,trend,325.69
1970,4,1970-04-01,1970.2920000000001,,average,328.13
1970,4,1970-04-01,1970.2920000000001,,interpolated,328.13
1970,4,1970-04-01,1970.2920000000001,,trend,325.86
1970,5,1970-05-01,1970.375,,average,328.07
1970,5,1970-05-01,1970.375,,interpolated,328.07
1970,5,1970-05-01,1970.375,,trend,325.27
1970,6,1970-06-01,1970.4579999999999,,average,327.66
1970,6,1970-06-01,1970.4579999999999,,interpolated,327.66
1970,6,1970-06-01,1970.4579999999999,,trend,325.52
1970,7,1970-07-01,1970.5420000000001,,average,326.35
1970,7,1970-07-01,1970.5420000000001,,interpolated,326.35
1970,7,1970-07-01,1970.5420000000001,,trend,325.51
1970,8,1970-08-01,1970.625,,average,324.69
1970,8,1970-08-01,1970.625,,interpolated,324.69
1970,8,1970-08-01,1970.625,,trend,325.76
1970,9,1970-09-01,1970.7079999999999,,average,323.1
1970,9,1970-09-01,1970.7079999999999,,interpolated,323.1
1970,9,1970-09-01,1970.7079999999999,,trend,325.93
1970,10,1970-10-01,1970.7920000000001,,average,323.16
1970,10,1970-10-01,1970.7920000000001,,interpolated,323.16
1970,10,1970-10-01,1970.7920000000001,,trend,326.15
1970,11,1970-11-01,1970.875,,average,323.98
1970,11,1970-11-01,1970.875,,interpolated,323.98
1970,11,1970-11-01,1970.875,,trend,325.96
1970,12,1970-12-01,1970.9579999999999,,average,325.13
1970,12,1970-12-01,1970.9579999999999,,interpolated,325.13
1970,12,1970-12-01,1970.9579999999999,,trend,326.06
1971,1,1971-01-01,1971.0420000000001,,average,326.17
1971,1,1971-01-01,1971.0420000000001,,interpolated,326.17
1971,1,1971-01-01,1971.0420000000001,,trend,326.25
1971,2,1971-02-01,1971.125,,average,326.68
1971,2,1971-02-01,1971.125,,interpolated,326.68
1971,2,1971-02-01,1971.125,,trend,326.1
1971,3,1971-03-01,1971.2079999999999,,average,327.18
1971,3,1971-03-01,1971.2079999999999,,interpolated,327.18
1971,3,1971-03-01,1971.2079999999999,,trend,325.94
1971,4,1971-04-01,1971.2920000000001,,average,327.78
1971,4,1971-04-01,1971.2920000000001,,interpolated,327.78
1971,4,1971-04-01,1971.2920000000001,,trend,325.47
1971,5,1971-05-01,1971.375,,average,328.92
1971,5,1971-05-01,1971.375,,interpolated,328.92
1971,5,1971-05-01,1971.375,,trend,326.11
1971,6,1971-06-01,1971.4579999999999,,average,328.57
1971,6,1971-06-01,1971.4579999999999,,interpolated,328.57
1971,6,1971-06-01,1971.4579999999999,,trend,326.4
1971,7,1971-07-01,1971.5420000000001,,average,327.34
1971,7,1971-07-01,1971.5420000000001,,interpolated,327.34
1971,7,1971-07-01,1971.5420000000001,,trend,326.45
1971,8,1971-08-01,1971.625,,average,325.46
1971,8,1971-08-01,1971.625,,interpolated,325.46
1971,8,1971-08-01,1971.625,,trend,326.49
1971,9,1971-09-01,1971.7079999999999,,average,323.36
1971,9,1971-09-01,1971.7079999999999,,interpolated,323.36
1971,9,1971-09-01,1971.7079999999999,,trend,326.19
1971,10,1971-10-01,1971.7920000000001,,average,323.57
